sample,dataset,fastq_1,fastq_2
Hefzi02,HefziGEM,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570961_SRR3161758_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570961_SRR3161758_2.fastq.gz
Hefzi03,HefziGEM,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570962_SRR3161759_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570962_SRR3161759_2.fastq.gz
Hefzi04,HefziGEM,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570963_SRR3161760_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570963_SRR3161760_2.fastq.gz
Hefzi05,HefziGEM,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570964_SRR3161761_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570964_SRR3161761_2.fastq.gz
Hefzi06,HefziGEM,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570965_SRR3161762_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570965_SRR3161762_2.fastq.gz
Hefzi07,HefziGEM,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570966_SRR3161763_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570966_SRR3161763_2.fastq.gz
Hefzi08,HefziGEM,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570967_SRR3161764_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570967_SRR3161764_2.fastq.gz
Hefzi09,HefziGEM,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570968_SRR3161765_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570968_SRR3161765_2.fastq.gz
Hefzi10,HefziGEM,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570969_SRR3161766_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570969_SRR3161766_2.fastq.gz
Hefzi11,HefziGEM,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570970_SRR3161767_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570970_SRR3161767_2.fastq.gz
Hefzi12,HefziGEM,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570971_SRR3161768_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570971_SRR3161768_2.fastq.gz
Hefzi13,HefziGEM,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570972_SRR3161769_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570972_SRR3161769_2.fastq.gz
Hefzi14,HefziGEM,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570973_SRR3161770_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570973_SRR3161770_2.fastq.gz
Hefzi15,HefziGEM,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570974_SRR3161771_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570974_SRR3161771_2.fastq.gz
Hefzi16,HefziGEM,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570975_SRR3161772_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570975_SRR3161772_2.fastq.gz
Hefzi17,HefziGEM,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570976_SRR3161773_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570976_SRR3161773_2.fastq.gz
Hefzi18,HefziGEM,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570977_SRR3161774_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570977_SRR3161774_2.fastq.gz
Hefzi19,HefziGEM,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570978_SRR3161775_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX1570978_SRR3161775_2.fastq.gz
